name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
Fabola Pulga Molina	F	1975	178	62	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Backstroke	NA
Fabola Pulga Molina	F	1975	178	62	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Medley Relay	NA
Guillermo Molina Ros	M	1984	195	105	Spain	ESP	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
Javier Molina	M	1990	175	64	United States	USA	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Welterweight	NA
Juan Manuel Molina Morote	M	1979	173	67	Spain	ESP	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 20 kilometres Walk	NA
Miguel Sacro Molina	M	1984	180	79	Philippines	PHI	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Breaststroke	NA
Miguel Sacro Molina	M	1984	180	79	Philippines	PHI	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Individual Medley	NA
Katharina Molitor	F	1984	183	79	Germany	GER	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	NA
Anne Mllinger-Cibis	F	1986	173	68	Germany	GER	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 100 metres Relay	NA
Daniele Cristoforo Molmenti	M	1984	170	69	Italy	ITA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, Slalom	NA
Briitka Molnar	F	1985	182	66	Serbia	SRB	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
Krisztina Molnr	F	1976	164	52	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Pole Vault	NA
Tams Molnr	M	1975	193	104	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Gold
Juan Mnaco	M	1984	185	77	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Singles	NA
Juan Mnaco	M	1984	185	77	Argentina-1	ARG	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Doubles	NA
Mara Teresa Monasterio	F	1970	155	63	Bolivia	BOL	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Middleweight	NA
Ricardo Andrs Monasterio Guimaraes	M	1979	186	69	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 1,500 metres Freestyle	NA
Avard Moncur	M	1979	193	87	Bahamas	BAH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 400 metres Relay	Silver
Anne-Sophie Mondire	F	1979	174	86	France	FRA	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Heavyweight	NA
Gal Sbastien Monfils	M	1987	193	80	France	FRA	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Singles	NA
Gal Sbastien Monfils	M	1987	193	80	France-1	FRA	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Doubles	NA
Maxime Monfort	M	1983	180	67	Belgium	BEL	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
Maxime Monfort	M	1983	180	67	Belgium	BEL	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Individual Time Trial	NA
Aurore Mongel	F	1982	177	68	France	FRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 200 metres Freestyle	NA
Aurore Mongel	F	1982	177	68	France	FRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 200 metres Freestyle Relay	NA
Aurore Mongel	F	1982	177	68	France	FRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Butterfly	NA
Aurore Mongel	F	1982	177	68	France	FRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 200 metres Butterfly	NA
Aurore Mongel	F	1982	177	68	France	FRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Medley Relay	NA
Kenrick John Monk	M	1988	194	95	Australia	AUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Freestyle	NA
Mnkhbaataryn Bundmaa	F	1986	159	52	Mongolia	MGL	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Lightweight	NA
Yasunori Mononobe	M	1985	180	70	Japan	JPN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 200 metres Freestyle Relay	NA
Consuelo Monsegur	F	1970	175	73	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Two Person Dinghy	NA
Jan-Marco Montag	M	1984	188	88	Germany	GER	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Gold
Anna Montaana Gimeno	F	1981	187	85	Spain	ESP	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
Concepcin Montaner Coll	F	1981	170	59	Spain	ESP	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Long Jump	NA
Aldo Montano	M	1979	184	82	Italy	ITA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Individual	NA
Aldo Montano	M	1979	184	82	Italy	ITA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Team	Bronze
Manula Montebrun	F	1980	175	90	France	FRA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Hammer Throw	NA
Edivaldo Isaas Carvalho vora Monteiro	M	1976	180	70	Portugal	POR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 400 metres Hurdles	NA
Ins Alexandra das Neves Monteiro	F	1980	158	50	Portugal	POR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA
Joo Pedro Andrade Selgas Monteiro	M	1984	180	71	Portugal	POR	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
Telma Alexandra Pinto Monteiro	F	1986	161	57	Portugal	POR	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Lightweight	NA
Thiago Farias Monte Monteiro	M	1981	182	80	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
Thiago Farias Monte Monteiro	M	1981	182	80	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Team	NA
Vnia Monteiro	F	1987	170	62	Cape Verde	CPV	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Individual	NA
Daniela Monteiro Dodean	F	1988	170	55	Romania	ROU	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Singles	NA
Daniela Monteiro Dodean	F	1988	170	55	Romania	ROU	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Team	NA
Daynellis Montejo Poll	F	1985	167	49	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Flyweight	Bronze
Johnny Winston Mndez Montero	M	1975	168	48	Dominican Republic	DOM	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Flyweight	NA
Riccardo Montolivo	M	1985	181	73	Italy	ITA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Mario Enrique Montoya Segnini	M	1990	195	96	Costa Rica	CRC	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Freestyle	NA
Amantle Montsho	F	1983	173	57	Botswana	BOT	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 400 metres	NA
Ngozi Rosalin Monu	F	1981	180	70	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
Sergey Aleksandrovich Monya	M	1983	202	99	Russia	RUS	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
Fabin Luciano Monzn	M	1987	167	62	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold
Roberto Monzn Gonzlez	M	1978	166	60	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Lightweight, Greco-Roman	NA
Natasha Moodie	F	1991	183	68	Jamaica	JAM	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
John David Moody	M	1983	181	78	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Men's Singles	NA
David Keith Moore	M	1954	183	125	Australia	AUS	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Pistol, 10 metres	NA
David Keith Moore	M	1954	183	125	Australia	AUS	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Free Pistol, 50 metres	NA
Robert Stephen "Rob" Moore	M	1981	184	84	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
Merel Else Mooren	F	1983	186	70	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Women's Beach Volleyball	NA
Hayley Rose Moorwood (-Bowden)	F	1984	165	55	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	NA
Anna-Liza Mopio-Jane	F	1987	175	63	Papua New Guinea	PNG	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
Gladys Alicia Mora Romero	F	1980	170	49	Colombia	COL	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Flyweight	NA
Sajjad Moradi	M	1983	183	68	Iran	IRI	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 800 metres	NA
Carlos Edilson Alcantara Morais	M	1986	190	90	Angola	ANG	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
Evangelia "Evi" Moraitidou	F	1975	184	74	Greece	GRE	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	NA
Jacek Tadeusz Morajko	M	1981	180	65	Poland	POL	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
Gisela Mara Morales Valentn	F	1988	182	66	Guatemala	GUA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Backstroke	NA
Gisela Mara Morales Valentn	F	1988	182	66	Guatemala	GUA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 200 metres Backstroke	NA
scar Andrs Morales Guifarro	M	1986	178	73	Honduras	HON	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Matteo Morandi	M	1982	165	71	Italy	ITA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Individual All-Around	NA
Matteo Morandi	M	1982	165	71	Italy	ITA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Team All-Around	NA
Matteo Morandi	M	1982	165	71	Italy	ITA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Floor Exercise	NA
Matteo Morandi	M	1982	165	71	Italy	ITA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Parallel Bars	NA
Matteo Morandi	M	1982	165	71	Italy	ITA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Horizontal Bar	NA
Matteo Morandi	M	1982	165	71	Italy	ITA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Rings	NA
Matteo Morandi	M	1982	165	71	Italy	ITA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Pommelled Horse	NA
Lidia Morant Var	F	1991	179	63	Spain	ESP	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 200 metres Backstroke	NA
Adelheid Morath	F	1984	164	52	Germany	GER	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's Mountainbike, Cross-Country	NA
Rosa Mara Morat Rodrguez	F	1979	170	56	Spain	ESP	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 3,000 metres Steeplechase	NA
Martina Moravcov	F	1976	172	60	Slovakia	SVK	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
Martina Moravcov	F	1976	172	60	Slovakia	SVK	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Freestyle	NA
Martina Moravcov	F	1976	172	60	Slovakia	SVK	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Butterfly	NA
Timothy Frank "Tim" Morehouse	M	1978	188	91	United States	USA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Individual	NA
Timothy Frank "Tim" Morehouse	M	1978	188	91	United States	USA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Team	Silver
Jeferson Sgnaolin Moreira	M	1966	185	77	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Individual	NA
Jeferson Sgnaolin Moreira	M	1966	185	77	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Team	NA
Jos Carlos Gomes Moreira	M	1984	172	76	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 100 metres	NA
Jos Carlos Gomes Moreira	M	1984	172	76	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 100 metres Relay	Bronze
Sara Isabel Fonseca Moreira	F	1986	166	50	Portugal	POR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 3,000 metres Steeplechase	NA
Ftima Moreira de Melo	F	1978	160	55	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Gold
Juraci Moreira Jnior	M	1979	186	74	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
Pauline Morel	F	1992	157	43	France	FRA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA
Pauline Morel	F	1992	157	43	France	FRA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	NA
Pauline Morel	F	1992	157	43	France	FRA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA
Pauline Morel	F	1992	157	43	France	FRA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Uneven Bars	NA
Pauline Morel	F	1992	157	43	France	FRA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA
Eli Johana Moreno Valencia	F	1985	175	93	Colombia	COL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Hammer Throw	NA
Karla Moreno Rodrguez	F	1988	142	47	Nicaragua	NCA	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Flyweight	NA
Katerine Moreno de Quintanilla	F	1974	182	71	Bolivia	BOL	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
Rodrigo Moreno Munar	M	1966	162	56	Colombia	COL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 50 kilometres Walk	NA
dison Xavier Moreno Cruz	M	1980	166	54	Ecuador	ECU	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 50 kilometres Walk	NA
Yipsi Moreno Gonzlez	F	1981	175	78	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Hammer Throw	Silver
Nikita Andreyevich Morgachov	M	1981	196	98	Russia	RUS	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Quadruple Sculls	NA
Simo Pedro Gomes Morgado	M	1979	185	76	Portugal	POR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Butterfly	NA
Christopher "Chris" Morgan	M	1983	191	90	Australia	AUS	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Quadruple Sculls	NA
Keith Laurence Morgan	M	1974	178	98	Canada	CAN	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Heavyweight	NA
Shona Morgan	F	1991	158	49	Australia	AUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA
Shona Morgan	F	1991	158	49	Australia	AUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	NA
Shona Morgan	F	1991	158	49	Australia	AUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA
Shona Morgan	F	1991	158	49	Australia	AUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Uneven Bars	NA
Shona Morgan	F	1991	158	49	Australia	AUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA
Tina Michelle Morgan (-Tanrkulu)	F	1983	173	67	Australia	AUS	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Welterweight	NA
Nikita Leonidovich Morgunov	M	1975	210	125	Russia	RUS	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
Lucia Morico	F	1976	179	78	Italy	ITA	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Heavyweight	NA
Daniel Morillo Prats	M	1988	180	88	Spain	ESP	2008 Summer	2008	Summer	Beijing	Archery	Archery Men's Individual	NA
Sakae Morimoto	F	1977	165	63	Japan	JPN	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
Takayuki Morimoto	M	1988	180	76	Japan	JPN	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Andranne Morin	F	1982	178	71	Canada	CAN	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Coxed Eights	NA
Masahiko Morino	M	1978	180	85	Japan	JPN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
Koichiro Morioka	M	1985	185	69	Japan	JPN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 20 kilometres Walk	NA
Masato Morishige	M	1987	181	74	Japan	JPN	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Ayumi Morita	F	1990	165	56	Japan	JPN	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Singles	NA
Ayumi Morita	F	1990	165	56	Japan	JPN	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Doubles	NA
Tomomi Morita	M	1985	169	68	Japan	JPN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Backstroke	NA
Ryuichi Moriya	M	1985	173	70	Japan	JPN	2008 Summer	2008	Summer	Beijing	Archery	Archery Men's Individual	NA
Carlo Leonardo Mornati	M	1972	186	88	Italy	ITA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxless Fours	NA
Niccol Giovanni Pietro Mornati	M	1981	197	97	Italy	ITA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxless Fours	NA
Erica Rachelle Morningstar	F	1989	178	64	Canada	CAN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Freestyle	NA
Erica Rachelle Morningstar	F	1989	178	64	Canada	CAN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Freestyle Relay	NA
Erica Rachelle Morningstar	F	1989	178	64	Canada	CAN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 200 metres Freestyle Relay	NA
Erica Rachelle Morningstar	F	1989	178	64	Canada	CAN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 200 metres Individual Medley	NA
Erica Rachelle Morningstar	F	1989	178	64	Canada	CAN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Medley Relay	NA
Angela Moroanu	F	1986	181	60	Romania	ROU	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 400 metres Hurdles	NA
Phillip Cameron	M	1985	189	84	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 200 metres Freestyle Relay	NA
Stephen James "Stevie" Morrison	M	1979	178	77	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed Skiff	NA
Simmone Anne Morrow	F	1977	169	62	Australia	AUS	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Bronze
Dorian Denis Mortelette	M	1984	195	90	France	FRA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxless Fours	Bronze
Angus Mortimer	M	1986	180	85	Canada	CAN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	NA
Merrill Moses	M	1978	191	97	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Silver
Rolande Moses	M	1981	180	69	Grenada	GRN	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Welterweight	NA
Magdalena Ruth Alex Moshi	F	1991	169	65	Tanzania	TAN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
Vasily Aleksandrovich Mosin	M	1972	180	82	Russia	RUS	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Double Trap	NA
Vera Sergeyevna Moskalyuk	F	1982	180	78	Russia	RUS	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Heavyweight	NA
Kseniya Leonidovna Moskvina	F	1989	180	62	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Backstroke	NA
Kseniya Leonidovna Moskvina	F	1989	180	62	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Medley Relay	NA
Tracey Mosley	F	1974	170	73	Australia	AUS	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Bronze
Justyna Mospinek	F	1984	168	71	Poland	POL	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Individual	NA
Justyna Mospinek	F	1984	168	71	Poland	POL	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Team	NA
Edwin Orlando MosqueraRoa	M	1985	165	69	Colombia	COL	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Lightweight	NA
Geiner Alonso Mosquera Becerra	M	1984	187	75	Colombia	COL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 400 metres	NA
Jarlis Ariel Mosquera Mosquera	M	1984	180	84	Colombia	COL	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Freestyle	NA
Meisam Mostafa Jokar	M	1985	165	74	Iran	IRI	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Middleweight, Freestyle	NA
Moses Moeketsi Mosuhli	M	1981	159	62	Lesotho	LES	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Marathon	NA
Cydonie Camille Mothersill (-Modibo)	F	1978	171	57	Cayman Islands	CAY	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 200 metres	NA
Aurica Valeria Motogna-Bee	F	1980	187	79	Romania	ROU	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
Marco Motta	M	1986	188	78	Italy	ITA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Craig Stuart Mottram	M	1980	188	71	Australia	AUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 5,000 metres	NA
Tomasz Marek Motyka	M	1981	176	75	Poland	POL	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's epee, Individual	NA
Tomasz Marek Motyka	M	1981	176	75	Poland	POL	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's epee, Team	Silver
Pamela Chardene Mouele-Mboussi	F	1988	179	nan	Congo (Brazzaville)	CGO	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Long Jump	NA
Dimitris Mougios	M	1982	191	72	Greece	GRE	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Double Sculls	Silver
Liesbeth Mouha	F	1983	189	81	Belgium	BEL	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Women's Beach Volleyball	NA
Tony Moulay	M	1976	178	68	France	FRA	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
Ana Luisa Flr Moura	F	1986	169	58	Portugal	POR	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Women's Singles	NA
Anthony David Moura-Komenan	M	1986	170	68	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Jaqueline Mouro	F	1976	170	55	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's Mountainbike, Cross-Country	NA
Jens Mouris	M	1980	198	91	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Individual Pursuit, 4,000 metres	NA
Jens Mouris	M	1980	198	91	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Team Pursuit, 4,000 metres	NA
Jens Mouris	M	1980	198	91	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Madison	NA
Elena Mousikou	F	1989	166	57	Cyprus	CYP	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Individual	NA
Abdel Aziz Boukar Boukar Moussa	M	1980	204	97	Angola	ANG	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
Meriem Moussa	F	1988	150	48	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Extra-Lightweight	NA
Driss Moussaid	M	1988	nan	64	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Welterweight	NA
Franck Martial Moussima Ewane	M	1984	175	105	Cameroon	CMR	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Heavyweight	NA
Mohamed Moustaoui	M	1985	174	62	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 1,500 metres	NA
Olena Dmytrivna Movchan	F	1977	156	54	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	NA
Cathal Moynihan	M	1981	183	70	Ireland	IRL	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Coxless Fours	NA
Marcin Rafa Modonek	M	1985	211	93	Poland	POL	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
Anna Mozgunova (Brel-)	F	1985	181	78	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Discus Throw	NA
Michael Mrkv (-Christiansen)	M	1985	183	69	Denmark	DEN	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Team Pursuit, 4,000 metres	Silver
Michael Mrkv (-Christiansen)	M	1985	183	69	Denmark	DEN	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Madison	NA
Thuso Mpuang	M	1986	177	75	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	NA
Thuso Mpuang	M	1986	177	75	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 100 metres Relay	NA
Luka Mratovi	M	1987	190	78	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Windsurfer	NA
Miljan Mrdakovi	M	1982	187	80	Serbia	SRB	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Zakia Mrisho Mohamed	F	1976	150	50	Tanzania	TAN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 5,000 metres	NA
Magdalena Urszula Mroczkiewicz	F	1980	179	65	Poland	POL	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Foil, Individual	NA
