name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
Mitsuhiro Abiko	M	1989	169	62	Japan	JPN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 400 metres Relay	NA
Inga Eduardovna Abitova	F	1982	164	58	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 10,000 metres	NA
Ashraf Abou El-Hassan	M	1975	186	86	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
Ibrahim Mohamedin Aboubaker	M	1983	190	65	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Triple Jump	NA
Ara Abrahamian	M	1975	191	84	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Greco-Roman	NA
Clyde Abrahams	M	1979	178	68	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
Andrey Viktorovich Abramov	M	1984	176	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	Archery	Archery Men's Individual	NA
Andrey Viktorovich Abramov	M	1984	176	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	Archery	Archery Men's Team	NA
Arnaldo Lus Isaas Abrantes	M	1987	183	72	Portugal	POR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	NA
Morais Santos Abreu	M	1968	188	73	Angola	ANG	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA
Svetlana Olegovna Abrosimova	F	1980	188	77	Russia	RUS	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Bronze
Julien Absalon	M	1981	180	68	France	FRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Mountainbike, Cross-Country	Gold
Najmeh Abtin	F	1983	160	57	Iran	IRI	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Individual	NA
Mohamed Abu Abdullah	M	1981	173	74	Bangladesh	BAN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 100 metres	NA
Nagmeldin Ali Abubakr	M	1986	172	63	Sudan	SUD	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 400 metres	NA
Folashade "Shade" Abugan	F	1991	150	64	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 400 metres	NA
Folashade "Shade" Abugan	F	1991	150	64	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 400 metres Relay	NA
Kanat Kalizhanovich Abutalipov	M	1983	168	56	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Bantamweight	NA
Irina Alekseyevna Abysova	F	1981	175	56	Russia	RUS	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	NA
Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA
Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	Bronze
Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA
Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA
Jos Eduardo Acevedo Herrera	M	1986	179	65	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	NA
Sharath Kamal Achanta	M	1982	186	85	India	IND	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
Onochie Lawrence "Larry" Achike	M	1975	188	75	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Triple Jump	NA
Haykel Al-Achouri	M	1985	184	84	Tunisia	TUN	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Greco-Roman	NA
Lautaro Germn Acosta	M	1988	168	72	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold
Luz Mercedes Acosta Valdez	F	1981	164	63	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Middleweight	NA
Osmay Acosta Duarte	M	1985	188	91	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Heavyweight	Bronze
Roslandy del Valle Acosta Alvarado	F	1992	190	62	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
Robert Acquafresca	M	1988	184	70	Italy	ITA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Amelia Lynn "Amy" Acuff (-Harvey)	F	1975	188	66	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's High Jump	NA
Crox Ernesto Acua Rodrguez	M	1990	192	89	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Freestyle	NA
Ahmed Adam	M	1988	162	60	Sudan	SUD	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 50 metres Freestyle	NA
Gal Adam	M	1986	190	80	Mauritius	MRI	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Freestyle	NA
Tomasz Adamiec	M	1982	171	69.5	Poland	POL	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Lightweight	NA
Luke Kendall Adams	M	1977	189	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 20 kilometres Walk	NA
Luke Kendall Adams	M	1977	189	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 50 kilometres Walk	NA
Valerie Kasanita Adams-Vili (-Price)	F	1985	193	120	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Shot Put	Gold
Filip Kamil Adamski	M	1983	189	87	Germany	GER	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxless Fours	NA
Jean Renaud Adde	M	1971	181	70	France	FRA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Individual	NA
Jean Renaud Adde	M	1971	181	70	France	FRA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Team	NA
Jangy McKinley Addy	M	1985	188	88	Liberia	LBR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Decathlon	NA
Olubayo Adefemi	M	1986	181	82	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
Ayodele "Dele" Adeleye	M	1989	190	80	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
Beatrice Adelizzi	F	1989	175	67	Italy	ITA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
Berhane Adere Debala	F	1973	170	50	Ethiopia	ETH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA
Kamal Bahadur Adhikari	M	1977	163	69	Nepal	NEP	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Lightweight	NA
Arman Adikyan	M	1985	168	66	Armenia	ARM	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Welterweight, Greco-Roman	NA
Rebecca "Becky" Adlington	F	1989	179	70	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 400 metres Freestyle	Gold
Rebecca "Becky" Adlington	F	1989	179	70	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 800 metres Freestyle	Gold
Nathan Ghar-Jun Adrian	M	1989	198	100	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Gold
Sharnol Leonard Adriana	M	1971	185	95	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
Adriana "Adrianinha" Moiss Pinto	F	1979	170	65	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
Elisngela Maria Adriano	F	1972	180	96	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Discus Throw	NA
Fredua Koranteng "Freddy" Adu	M	1989	170	66	United States	USA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Serhiy Mykolaiovych Advena	M	1984	190	82	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Freestyle	NA
Serhiy Mykolaiovych Advena	M	1984	190	82	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Butterfly	NA
Olga Olegovna Adzhigerskaya	F	1982	192	65	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
Silulu A'etonu (-Grey)	F	1984	170	59	American Samoa	ASA	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Middleweight	NA
Mario Aerts	M	1975	182	68	Belgium	BEL	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
Hamed Afagh Eslamieh	M	1983	188	82	Iran	IRI	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA
Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	NA
Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA
Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Uneven Bars	NA
Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA
Georgios Afroudakis	M	1977	194	103	Greece	GRE	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
Khristos Afroudakis	M	1984	188	88	Greece	GRE	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
Luca Agamennoni	M	1981	187	93	Italy	ITA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Quadruple Sculls	Silver
Neha Aggarwal	F	1990	170	67	India	IND	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Singles	NA
Naroa Agirre Kamio	F	1979	177	63	Spain	ESP	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Pole Vault	NA
Marilyn Agliotti	F	1979	172	58	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Gold
Simon Agoston	M	1977	179	64	Austria	AUT	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
Renzo Pasquale Zeglio Agresta	M	1985	181	76	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Individual	NA
Lindy Brigitte Agricole (Leveau-)	F	1974	175	70	Seychelles	SEY	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	NA
Ral Alfonso Aguayo Saladin	M	1981	189	82	Dominican Republic	DOM	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's One Person Dinghy	NA
