id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
57280	Gerd Kanter	M	1979	196	125	Estonia	EST	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Discus Throw	Gold
57389	Nikola Karabatic	M	1984	194	104	France	FRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Gold
57393	Daouda Karabou	M	1976	198	92	France	FRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Gold
57566	Ayumi Karino	F	1985	160	57	Japan	JPN	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Gold
57814	Tams Kss	M	1976	200	94	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Gold
58508	Florian Keller	M	1982	183	84	Germany	GER	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Gold
58521	Klete D. Keller	M	1982	198	97	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 200 metres Freestyle Relay	Gold
58624	Heike Kemmer	F	1962	172	63	Bonaparte	GER	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Dressage, Team	Gold
58646	Christophe Maurice Jean Kemp	M	1975	193	105	France	FRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Gold
58744	Jason Francis Kenny	M	1988	178	81	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Team Sprint	Gold
59209	Olha Hennadivna Kharlan	F	1991	172	68	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Sabre, Team	Gold
59225	Elvira Ramilevna Khasyanova	F	1981	163	57	Russia	RUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Gold
59367	Olena Mykolavna Khomrova	F	1987	166	54	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Sabre, Team	Gold
