id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
13332	Manut Boonjumnong	M	1980	173	64	Thailand	THA	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Welterweight	Silver
13545	Olivia Borle	F	1986	172	57	Belgium	BEL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 100 metres Relay	Silver
13706	Marcelien Bos-de Koning	F	1978	175	62	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Two Person Dinghy	Silver
14002	Thomas Bouhail	M	1986	166	61	France	FRA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Horse Vault	Silver
14106	Mickal Stphane Bourgain	M	1980	181	77	France	FRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Team Sprint	Silver
14159	Frdric Thierry Roger "Frd" Bousquet	M	1981	188	86	France	FRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Silver
14284	Heather Erin Bown	F	1979	188	90	United States	USA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Silver
14698	Ana Maria Florentina Brnz-Popescu	F	1985	175	64	Romania	ROU	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's epee, Individual	Silver
14862	Elaine Breeden (-Penrose)	F	1989	180	73	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Medley Relay	Silver
15372	Brandon Brooks	M	1981	198	111	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Silver
15459	Tore Brovold	M	1970	175	nan	Norway	NOR	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	Silver
15488	Christopher Deon "Chris" Brown	M	1979	178	75	Bahamas	BAH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 400 metres Relay	Silver
15791	Bruno "Bruninho" Mossa de Rezende	M	1986	190	76	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	Silver
16424	Darren Bundock	M	1971	180	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed Multihull	Silver
16678	Jason Nicholas Burnett	M	1987	165	68	Canada	CAN	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	Silver
16875	Crystl Irene Bustos	F	1978	173	102	United States	USA	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Silver
17146	Alba Mara Cabello Rodilla	F	1986	163	47	Spain	ESP	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Silver
17289	Cai Tongtong	F	1990	168	48	China	CHN	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Silver
17299	Cai Yun	M	1980	181	68	China-1	CHN	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Men's Doubles	Silver
17348	David Cal Figueroa	M	1983	183	86	Spain	ESP	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, 500 metres	Silver
17348	David Cal Figueroa	M	1983	183	86	Spain	ESP	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, 1,000 metres	Silver
17388	David "Dave" Calder	M	1978	195	90	Canada	CAN	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxless Pairs	Silver
17402	Jos Manuel Caldern Borrallo	M	1982	191	90	Spain	ESP	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	Silver
17857	Fabian Cancellara	M	1981	186	81	Switzerland	SUI	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	Silver
17985	Christian Cantwell	M	1981	193	154	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Shot Put	Silver
18178	Patricia "Patty" Cardenas	F	1985	170	73	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	Silver
18970	Yalennis Castillo Ramrez	F	1986	174	78	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Heavyweight	Silver
19160	Milorad avi	M	1984	198	87	Serbia	SRB	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Butterfly	Silver
19340	Frederich Cepeda Cruz	M	1980	177	94	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Silver
19791	Chang Yongxiang	M	1984	178	74	China	CHN	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Middleweight, Greco-Roman	Silver
20237	Chen Ling	F	1987	169	58	China	CHN	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Team	Silver
20255	Chen Qiuqi	F	1980	164	52	China	CHN	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Silver
20330	Chen Zhaoxia	F	1975	170	60	China	CHN	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Silver
20366	Cheng Hui	F	1973	161	55	China	CHN	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Silver
20708	Yevgeny Aleksandrovich Chigishev	M	1979	187	126	Russia	RUS	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Super-Heavyweight	Silver
21158	Chou Tao	F	1988	174	56	China	CHN	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Silver
21255	Michael Frk Christensen	M	1986	186	76	Denmark	DEN	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Team Pursuit, 4,000 metres	Silver
