id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
120633	Robert John "Rob" Tobin	M	1984	190	78	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 400 metres Relay	Bronze
120881	Vctor Toms Gonzlez	M	1985	176	83	Spain	ESP	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Bronze
121922	Giovanna Trillini	F	1970	164	59	Italy	ITA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Foil, Team	Bronze
121981	Triyatno	M	1988	161	77	Indonesia	INA	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Featherweight	Bronze
122604	Alina Arturovna Tumilovich	F	1990	178	56	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Bronze
122784	Jason Turner	M	1975	183	98	United States	USA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Pistol, 10 metres	Bronze
122850	Otar Tushishvili	M	1978	177	66	Georgia	GEO	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Welterweight, Freestyle	Bronze
122907	Robert Nathan Twaddle	M	1977	186	90	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxless Pairs	Bronze
122990	Ruslan Samaganovich Tyumenbayev	M	1986	169	60	Kyrgyzstan	KGZ	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Lightweight, Greco-Roman	Bronze
123097	Vanja (Franjo-) Udovii	M	1983	193	94	Serbia	SRB	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Bronze
123154	Yordenis Ugs Hernndez	M	1986	176	60	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Lightweight	Bronze
125060	Kimberly "Kim" Vandenberg	F	1984	173	59	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 200 metres Freestyle Relay	Bronze
125083	Peter William Vanderkaay	M	1984	193	95	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Freestyle	Bronze
125214	Armen Frunzekovych Vardanian	M	1983	172	66	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Welterweight, Greco-Roman	Bronze
125499	Alexis Alain Vastine	M	1987	184	69	France	FRA	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Welterweight	Bronze
125781	Radoslav Marinov Velikov	M	1984	160	55	Bulgaria	BUL	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Featherweight, Freestyle	Bronze
125928	Tonya Lynn Verbeek	F	1978	165	55	Canada	CAN	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Women's Lightweight, Freestyle	Bronze
125935	Aleksey Igoryevich Verbov	M	1982	183	79	Russia	RUS	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	Bronze
126257	Maria Valentina Vezzali	F	1974	164	54	Italy	ITA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Foil, Team	Bronze
126277	Sandro Ricardo Rodrigues Viana	M	1977	188	77	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 100 metres Relay	Bronze
