id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal	age
357	Yusup Abdusalomov	M	1978	170	84	Tajikistan	TJK	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Freestyle	Silver	30
371	Shinnosuke Abe	M	1979	179	91	Japan	JPN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA	29
382	Soha Abed Elaal	F	1973	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Individual	NA	35
390	Brooke Abel	F	1988	163	52	United States	USA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA	20
395	Jennifer Abel	F	1992	160	62	Canada	CAN	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	NA	16
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA	25
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	NA	25
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA	25
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Uneven Bars	NA	25
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA	25
402	Arthur Abele	M	1986	184	85	Germany	GER	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Decathlon	NA	22
428	Elvan Abeylegesse	F	1983	159	40	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 5,000 metres	Silver	25
428	Elvan Abeylegesse	F	1983	159	40	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 10,000 metres	NA	25
432	Koutoua Francis Abia	M	1966	180	80	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 500 metres	NA	42
432	Koutoua Francis Abia	M	1966	180	80	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 1,000 metres	NA	42
433	Pablo Abin Vicen	M	1985	177	68	Spain	ESP	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Men's Singles	NA	23
439	Sagat Abikeyeva	F	1981	160	78	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Heavyweight	NA	27
440	Mitsuhiro Abiko	M	1989	169	62	Japan	JPN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 400 metres Relay	NA	19
449	Inga Eduardovna Abitova	F	1982	164	58	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 10,000 metres	NA	26
471	Ashraf Abou El-Hassan	M	1975	186	86	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA	33
488	Ibrahim Mohamedin Aboubaker	M	1983	190	65	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Triple Jump	NA	25
514	Ara Abrahamian	M	1975	191	84	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Greco-Roman	NA	33
516	Clyde Abrahams	M	1979	178	68	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA	29
541	Andrey Viktorovich Abramov	M	1984	176	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	Archery	Archery Men's Individual	NA	24
541	Andrey Viktorovich Abramov	M	1984	176	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	Archery	Archery Men's Team	NA	24
556	Arnaldo Lus Isaas Abrantes	M	1987	183	72	Portugal	POR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	NA	21
568	Morais Santos Abreu	M	1968	188	73	Angola	ANG	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA	40
580	Svetlana Olegovna Abrosimova	F	1980	188	77	Russia	RUS	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Bronze	28
583	Julien Absalon	M	1981	180	68	France	FRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Mountainbike, Cross-Country	Gold	27
589	Najmeh Abtin	F	1983	160	57	Iran	IRI	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Individual	NA	25
590	Mohamed Abu Abdullah	M	1981	173	74	Bangladesh	BAN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 100 metres	NA	27
600	Nagmeldin Ali Abubakr	M	1986	172	63	Sudan	SUD	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 400 metres	NA	22
604	Folashade "Shade" Abugan	F	1991	150	64	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 400 metres	NA	17
604	Folashade "Shade" Abugan	F	1991	150	64	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 400 metres Relay	NA	17
620	Kanat Kalizhanovich Abutalipov	M	1983	168	56	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Bantamweight	NA	25
623	Irina Alekseyevna Abysova	F	1981	175	56	Russia	RUS	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	NA	27
627	Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA	16
627	Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	Bronze	16
627	Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA	16
627	Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA	16
651	Jos Eduardo Acevedo Herrera	M	1986	179	65	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	NA	22
663	Sharath Kamal Achanta	M	1982	186	85	India	IND	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA	26
675	Onochie Lawrence "Larry" Achike	M	1975	188	75	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Triple Jump	NA	33
687	Haykel Al-Achouri	M	1985	184	84	Tunisia	TUN	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Greco-Roman	NA	23
716	Lautaro Germn Acosta	M	1988	168	72	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold	20
719	Luz Mercedes Acosta Valdez	F	1981	164	63	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Middleweight	NA	27
723	Osmay Acosta Duarte	M	1985	188	91	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Heavyweight	Bronze	23
725	Roslandy del Valle Acosta Alvarado	F	1992	190	62	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA	16
729	Robert Acquafresca	M	1988	184	70	Italy	ITA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA	20
737	Amelia Lynn "Amy" Acuff (-Harvey)	F	1975	188	66	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's High Jump	NA	33
738	Crox Ernesto Acua Rodrguez	M	1990	192	89	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Freestyle	NA	18
759	Ahmed Adam	M	1988	162	60	Sudan	SUD	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 50 metres Freestyle	NA	20
761	Gal Adam	M	1986	190	80	Mauritius	MRI	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Freestyle	NA	22
795	Tomasz Adamiec	M	1982	171	69.5	Poland	POL	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Lightweight	NA	26
824	Luke Kendall Adams	M	1977	189	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 20 kilometres Walk	NA	31
824	Luke Kendall Adams	M	1977	189	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 50 kilometres Walk	NA	31
846	Valerie Kasanita Adams-Vili (-Price)	F	1985	193	120	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Shot Put	Gold	23
849	Filip Kamil Adamski	M	1983	189	87	Germany	GER	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxless Fours	NA	25
876	Jean Renaud Adde	M	1971	181	70	France	FRA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Individual	NA	37
876	Jean Renaud Adde	M	1971	181	70	France	FRA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Team	NA	37
888	Jangy McKinley Addy	M	1985	188	88	Liberia	LBR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Decathlon	NA	23
896	Olubayo Adefemi	M	1986	181	82	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver	22
908	Ayodele "Dele" Adeleye	M	1989	190	80	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver	19
912	Beatrice Adelizzi	F	1989	175	67	Italy	ITA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA	19
929	Berhane Adere Debala	F	1973	170	50	Ethiopia	ETH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA	35
939	Kamal Bahadur Adhikari	M	1977	163	69	Nepal	NEP	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Lightweight	NA	31
943	Arman Adikyan	M	1985	168	66	Armenia	ARM	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Welterweight, Greco-Roman	NA	23
980	Rebecca "Becky" Adlington	F	1989	179	70	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 400 metres Freestyle	Gold	19
